,,,Frames,Time,Calcium,Diameter
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,162,82.514,0.044097191,101.9107296
,,,163,83.027,0.018000185,98.59612874
,,,164,83.539,-0.026824229,101.0373217
,,,165,84.052,0.102837121,95.91149668
,,,166,84.564,0.112417608,100.3655814
,,,167,85.077,0.13378939,106.3399896
,,,168,85.59,0.038678403,93.81253002
,,,169,86.102,0.024849552,96.07725936
,,,170,86.615,0.024632769,92.32220088
,,,171,87.127,-0.00519237,103.4312383
,,,172,87.64,0.109816605,104.9293395
,,,173,88.152,0.076610077,110.6736207
,,,174,88.665,0.117923141,92.94123055
,,,175,89.177,0.0325226,92.91689104
,,,176,89.69,-0.114609068,101.2187784
,,,177,90.202,-0.012301814,96.69322784
,,,178,90.715,-0.055869138,99.6959143
,,,179,91.227,-0.043947725,107.4383019
,,,180,91.74,0.045917885,107.8162038
,,,181,92.252,0.036294104,100.1978338
,,,182,92.765,0.077433758,101.3813035
,,,183,93.277,-0.135113876,106.2549116
,,,184,93.79,-0.044381213,102.5324058
,,,185,94.302,0.057189027,103.6123775
,,,186,94.815,-0.031419415,95.17687423
,,,187,95.327,-0.072038836,90.8766162
,,,188,95.84,-0.109363612,100.814067
,,,189,96.352,-0.039309167,108.013981
,,,190,96.865,-0.034020417,106.350964
,,,191,97.377,-0.071908798,94.4524322
,,,192,97.89,0.024199281,105.8144981
,,,193,98.402,-0.042213697,103.2476555
,,,194,98.915,0.092693109,109.4233167
,,,195,99.427,0.084413163,103.9909674
,,,196,99.94,-0.000944006,109.1054916
,,,197,100.45,-0.096054993,105.4162707
,,,198,100.96,-0.054178403,108.3809702
,,,199,101.48,-0.012865418,106.4900935
,,,200,101.99,-0.019064515,102.1519015
,,,201,102.5,-0.103077849,102.9733575
,,,202,103.01,-0.101733937,110.5509881
,,,203,103.53,-0.060247541,101.7091149
,,,204,104.04,-0.029772053,95.19128032
,,,205,104.55,-0.034020417,96.95289919
,,,206,105.06,-0.120027856,101.5194626
,,,207,105.58,-0.144781028,101.8357438
,,,208,106.09,-0.131949269,96.96821393
,,,209,106.6,-0.087645009,108.9488419
,,,210,107.12,0.024286026,100.8481017
,,,211,107.63,0.020384483,102.8265971
,,,212,108.14,0.068200092,103.8629535
,,,213,108.65,0.035297013,103.8578456
,,,214,109.17,0.063518241,100.9741395
,,,215,109.68,-0.009310618,102.0095344
,,,216,110.19,0.053027407,111.0926236
,,,217,110.7,-0.001074044,98.46944688
,,,218,111.22,-0.069004346,111.7650432
,,,219,111.73,0.052333764,98.66800041
,,,220,112.24,-0.03055244,109.3905964
,,,221,112.75,0.003044282,105.6959323
,,,222,113.27,-0.036361343,109.7155495
,,,223,113.78,-0.011304801,108.0444781
,,,224,114.29,-0.049063064,108.2485012
,,,225,114.8,0.006815708,105.9741384
,,,226,115.32,0.023245562,103.8641709
,,,227,115.83,0.031525508,108.6032457
,,,228,116.34,-0.044251174,113.4665852
,,,229,116.85,-0.048889654,104.0076407
,,,230,117.37,0.015962708,101.887087
,,,231,117.88,-0.021578851,104.467136
,,,232,118.39,0.024892924,103.4706808
,,,233,118.9,-0.010741197,104.0869581
,,,234,119.42,0.038938479,109.2549603
,,,235,119.93,0.023462345,101.162892
,,,236,120.44,0.069023773,115.1600552
,,,237,120.95,0.04327351,107.7286116
,,,238,121.47,0.042319791,101.2012582
,,,239,121.98,-0.056345997,106.5547048
,,,240,122.49,-0.015032933,96.72189005
,,,241,123,0.022248549,107.8646799
,,,242,123.52,-0.028948451,106.2664859
,,,243,124.03,-0.022922686,111.2774944
,,,244,124.54,0.101493287,108.0943657
,,,245,125.05,-0.015899908,97.52985742
,,,246,125.57,0.165435302,111.0062312
,,,247,126.08,0.049559351,120.9440083
,,,248,126.59,-0.060160796,112.3791767
,,,249,127.1,0.041192739,99.50755884
,,,250,127.62,0.052853996,114.3026237
,,,251,128.13,0.019820878,94.97493311
,,,252,128.64,0.023375679,106.1359048
,,,253,129.15,-0.17191842,113.5450732
,,,254,129.67,-0.03471406,101.8673966
,,,255,130.18,0.008853185,111.2316561
,,,256,130.69,0.135263341,88.59621041
,,,257,131.2,-0.084653813,108.6846361
,,,258,131.72,-0.123322502,85.31290071
,,,259,132.23,-0.052314337,102.7913008
,,,260,132.74,-0.041173312,103.4739361
,,,261,133.25,-0.099653087,105.2610413
,,,262,133.77,-0.075203443,108.1248364
,,,263,134.28,-0.080318782,110.482751
,,,264,134.79,0.106738665,115.5744884
,,,265,135.3,-0.042040287,112.1338938
,,,266,135.82,0.065989205,111.5070391
